Rank,Institution,Undergraduates,Postgraduates,Total students
-,University of London[a],"92,760","68,500","161,270"
-,Open University[b],"122,805","9,560","132,360"
1,Open University in England,"98,520","8,590","107,110"
2,University of Manchester,"26,725","11,865","38,590"
3,University College London[c],"16,830","18,785","35,615"
4,University of Birmingham,"20,100","14,060","34,160"
5,University of Nottingham,"23,815","8,095","31,910"
6,Sheffield Hallam University,"24,645","6,890","31,530"
7,Manchester Metropolitan University,"25,810","5,545","31,355"
8,University of Leeds,"23,005","8,025","31,030"
9,Cardiff University,"21,575","8,905","30,480"
10,University of Edinburgh,"20,100","8,780","28,880"
11,King's College London[c],"17,610","11,120","28,730"
12,University of South Wales,"22,795","4,920","27,710"
13,Coventry University,"21,525","6,075","27,600"
14,University of Sheffield,"18,975","8,220","27,195"
15,Northumbria University,"22,705","4,370","27,075"
16,Nottingham Trent University,"21,855","5,030","26,890"
17,University of Glasgow,"19,160","7,655","26,815"
18,University of the West of England,"20,895","5,775","26,670"
19,Ulster University,"20,570","5,510","26,085"
20,Leeds Beckett University,"21,565","4,460","26,025"
21,University of Oxford,"16,580","9,420","26,005"
22,University of Plymouth,"22,725","3,170","25,895"
23,University of Central Lancashire,"21,210","4,450","25,655"
24,University of Hertfordshire,"19,220","5,660","24,880"
25,Queen's University Belfast,"18,855","4,995","23,855"
26,University of Southampton,"16,150","7,645","23,795"
27,University of Warwick,"14,765","8,925","23,685"
28,Birmingham City University,"19,205","4,130","23,335"
29,Newcastle University,"16,850","6,265","23,110"
30,University of Liverpool,"17,850","4,865","22,715"
31,Kingston University,"16,975","4,935","21,915"
32,University of Portsmouth,"18,315","3,310","21,625"
33,University of Bristol,"16,030","5,525","21,555"
34,University of Greenwich,"16,105","5,190","21,295"
35,University of Strathclyde,"14,670","6,540","21,210"
36,University of Brighton,"16,860","3,820","20,685"
37,Liverpool John Moores University,"17,835","2,800","20,635"
38,University of Exeter,"16,175","4,380","20,555"
39,University of Westminster,"16,145","4,320","20,465"
40,Anglia Ruskin University,"16,490","3,340","19,830"
41,De Montfort University,"16,020","3,630","19,650"
42,University of Huddersfield,"15,085","4,535","19,620"
43,University of Cambridge,"12,230","7,285","19,515"
44,University of Wolverhampton,"16,225","2,840","19,065"
45,University of Kent,"15,045","3,935","18,985"
46,University of Salford,"14,895","4,025","18,920"
47,"City, University of London[c]","9,695","8,585","18,280"
48,Bournemouth University,"14,770","3,455","18,225"
49,University of Leicester,"11,030","6,965","17,995"
50,Teesside University,"15,885","2,035","17,920"
51,University of the Arts London,"14,505","3,270","17,775"
52=,Staffordshire University,"14,770","2,965","17,735"
52=,London South Bank University,"13,020","4,715","17,735"
54,University of Durham,"12,870","4,725","17,595"
55,Middlesex University,"13,675","3,805","17,480"
56,Oxford Brookes University,"13,535","3,930","17,460"
57,University of Hull,"13,395","3,615","17,010"
58,Glasgow Caledonian University,"14,095","2,840","16,930"
59,University of York,"12,815","4,020","16,835"
60,Imperial College London,"9,015","7,595","16,610"
61,University of East Anglia,"11,445","4,820","16,265"
62,Edge Hill University,"12,115","4,055","16,170"
63=,Canterbury Christ Church University,"13,035","2,985","16,020"
63=,Swansea University,"13,465","2,555","16,020"
65,"Queen Mary, University of London[c]","11,390","4,570","15,960"
66,University of Derby,"13,155","2,780","15,935"
67,University of East London,"11,680","4,175","15,855"
68,University of Bedfordshire,"11,610","4,045","15,655"
69,Loughborough University,"12,140","3,450","15,590"
70,University of Bath,"11,315","4,255","15,570"
71,University of Dundee,"10,200","4,980","15,180"
72,University of Chester,"10,880","4,245","15,130"
73,University of the West of Scotland,"12,900","1,835","14,730"
74,University of Essex,"11,085","3,350","14,435"
75,University of Reading,"9,660","4,665","14,325"
76,University of Surrey,"10,585","3,715","14,300"
77,Open University in Scotland,"13,700",470,"14,170"
78,London Metropolitan University,"11,030","3,055","14,085"
79,University of Aberdeen,"10,055","3,985","14,035"
80,"Birkbeck, University of London[c]","9,680","4,255","13,935"
81,Brunel University London,"9,695","4,025","13,720"
82,University of Sunderland,"10,895","2,800","13,695"
83,Cardiff Metropolitan University,"8,920","4,750","13,670"
84,University of Sussex,"10,150","3,390","13,535"
85,University of Northampton,"10,940","2,340","13,285"
86,University of Lincoln,"11,085","2,180","13,265"
87,Robert Gordon University,"9,100","4,140","13,240"
88,Edinburgh Napier University,"10,805","2,320","13,125"
89,Lancaster University,"9,235","3,735","12,965"
90,University of Bradford,"8,820","2,700","11,520"
91,Southampton Solent University,"10,950",355,"11,305"
92,University of Stirling,"7,995","3,105","11,100"
93,Aston University,"8,690","2,375","11,065"
94,Bangor University,"8,105","2,660","10,765"
95,Heriot-Watt University,"7,040","3,665","10,705"
96,The University of St Andrews,"7,930","2,730","10,660"
97,London School of Economics[c],"4,415","6,185","10,600"
98,University of West London,"8,980","1,510","10,490"
99,"University of Wales, Trinity Saint David","8,660","1,760","10,425"
100,University of Worcester,"8,520","1,545","10,065"
101,"Royal Holloway, University of London[c]","7,170","2,745","9,915"
102,Aberystwyth University,"8,500","1,335","9,835"
103,University of Keele,"7,325","2,310","9,635"
104,University of Cumbria,"6,955","2,110","9,065"
105,Buckinghamshire New University,"7,970","1,065","9,035"
106,Goldsmiths College[c],"5,235","2,930","8,165"
107,University of Gloucestershire,"6,530","1,330","7,855"
108,University of the Highlands and Islands,"7,415",440,"7,850"
109,Roehampton University,"5,985","1,665","7,650"
110,University of Winchester,"5,910","1,575","7,485"
111,Bath Spa University,"5,305","2,075","7,380"
112,Open University in Wales,"6,960",325,"7,285"
113,Glyndŵr University,"5,875",895,"6,765"
114,York St John University,"5,720",835,"6,550"
115,University of Bolton,"5,295","1,090","6,385"
116,School of Oriental and African Studies[c],"3,015","2,890","5,910"
117,Liverpool Hope University,"3,920","1,630","5,550"
118,St George's Hospital Medical School[c],"4,575",930,"5,505"
119,University of Chichester,"4,645",800,"5,445"
120,"St Mary's University, Twickenham","3,905","1,430","5,335"
121,Queen Margaret University,"3,600","1,670","5,270"
122,University of Suffolk,"4,685",375,"5,060"
123,Harper Adams University,"4,385",655,"5,045"
124,University College Birmingham,"4,380",475,"4,855"
125,University for the Creative Arts,"4,480",325,"4,805"
126,Falmouth University,"4,010",270,"4,280"
127,Abertay University,"3,875",350,"4,220"
128,Cranfield University,0,"4,150","4,150"
129,Open University in Northern Ireland,"3,625",175,"3,795"
130,Leeds Trinity University,"2,790",715,"3,505"
131,Arts University Bournemouth,"2,880",75,"2,955"
132,Newman University,"2,225",500,"2,725"
133,University of St Mark and St John,"2,035",385,"2,420"
134=,Bishop Grosseteste University,"1,740",555,"2,290"
134=,Stranmillis University College,"1,740",555,"2,290"
136,University of Buckingham,"1,150","1,095","2,245"
137,Royal Veterinary College[c],"1,635",510,"2,145"
138,Ravensbourne,"1,985",70,"2,055"
139,Norwich University of the Arts,"1,820",60,"1,875"
140,Glasgow School of Art,"1,385",455,"1,840"
141,London Business School[c],0,"1,790","1,790"
142,SRUC,"1,565",50,"1,615"
143,Royal College of Art,0,"1,445","1,445"
